ac_number_2021,constituency_2021,region_2021,reserved_2021,valid_votes_2021,n_candidates_2021,winner_2021,winner_party_2021,winner_party_norm_2021,winner_votes_2021,winner_share_pct_2021,runner_up_2021,runner_up_party_norm_2021,runner_up_votes_2021,margin_pct_2021,turnout_pct_2021,ac_number_2026,constituency_2026,region_2026,reserved_2026,valid_votes_2026,n_candidates_2026,winner_2026,winner_party_2026,winner_party_norm_2026,winner_votes_2026,winner_share_pct_2026,runner_up_2026,runner_up_party_norm_2026,runner_up_votes_2026,margin_pct_2026,ac_number,flip_raw,flip_norm,margin_delta,constituency,district,region,reserved,turnout_pct_2026
35,Maduranthakam,North,SC,184471,10,Maragatham. K,AIADMK,AIADMK,86646,46.97,Sathya. C.E,DMK,83076,1.94,80.65,35,Madurantakam,North,SC,197454,9,MARAGATHAM KUMARAVEL.K,AIADMK,AIADMK,69284,35.09,EZHIL KATHARINE EZHILMALAI,TVK,62090,3.64,35,False,False,1.7000000000000002,Maduranthakam,Kanchipuram,North,SC,
36,Uthiramerur,North,GEN,209577,20,SUNDAR K,DMK,DMK,93427,44.58,SOMASUNDARAM V,AIADMK,91805,0.77,80.1,36,Uthiramerur,North,GEN,226651,14,MUNIRATHINAM.J,TVK,TVK,84917,37.47,SUNDAR.K,DMK,70694,6.28,36,True,True,5.51,Uthiramerur,Kanchipuram,North,GEN,
37,Kancheepuram,North,GEN,226893,15,C.V.M.P. Ezhailzrasan,DMK,DMK,102712,45.27,P. Magesh Kumar,PMK,91117,5.11,73.28,37,Kancheepuram,North,GEN,245239,15,R.V. RANJITHKUMAR,TVK,TVK,91350,37.25,V. SOMASUNDARAM,AIADMK,75862,6.32,37,True,True,1.21,Kancheepuram,Kanchipuram,North,GEN,
38,Arakonam,North,SC,169756,13,S.RAVI,AIADMK,AIADMK,85399,50.31,GOWTHAMA SANNAH.J,VCK,58230,16.0,74.89,38,Arakkonam,North,SC,181441,13,V. GANDHIRAJ,TVK,TVK,73776,40.66,EZHIL CAROLINE,VCK,50655,12.74,38,True,True,-3.26,Arakonam,Vellore,North,SC,
39,Sholinghur,North,GEN,222870,18,A.M.MUNIRATHINAM,INC,INC,110228,49.46,A.M.KRISHNAN,PMK,83530,11.98,80.09,39,Sholingur,North,GEN,233112,23,G.KAPIL,TVK,TVK,84506,36.25,K.SARAVANAN,PMK,78820,2.44,39,True,True,-9.540000000000001,Sholinghur,Vellore,North,GEN,
40,Katpadi,North,GEN,184357,15,DURAIMURUGAN,DMK,DMK,85140,46.18,V RAMU,AIADMK,84394,0.4,74.0,40,Katpadi,North,GEN,202752,15,DR M SUDHAKAR,TVK,TVK,69868,34.46,V. RAMU,AIADMK,63998,2.9,40,True,True,2.5,Katpadi,Vellore,North,GEN,
41,Ranipet,North,GEN,205830,14,R.GANDHI,DMK,DMK,103291,50.18,S.M.SUGUMAR,AIADMK,86793,8.02,77.24,41,Ranipet,North,GEN,219829,15,THAHIRA,TVK,TVK,91149,41.46,R. GANDHI,DMK,85362,2.63,41,True,True,-5.39,Ranipet,Vellore,North,GEN,
42,Arcot,North,GEN,207538,12,J.L.Eswarappan,DMK,DMK,103885,50.06,Elavazagan.K.L,PMK,83927,9.62,79.62,42,Arcot,North,GEN,225130,14,S.M.SUKUMAR,AIADMK,AIADMK,105608,46.91,G.VIJAY MOHAN,TVK,62888,18.98,42,True,True,9.360000000000001,Arcot,Vellore,North,GEN,
43,Vellore,North,GEN,178458,17,Karthikeyan .P,DMK,DMK,84299,47.24,Appu S.R.K,AIADMK,75118,5.14,70.25,43,Vellore,North,GEN,189770,15,M.M.VINOTH KANNAN,TVK,TVK,73032,38.48,P.KARTHIKEYAN,DMK,66255,3.57,43,True,True,-1.5699999999999998,Vellore,Vellore,North,GEN,
44,Anaikattu,North,GEN,196014,13,A.P.Nandakumar,DMK,DMK,95159,48.55,D.Velazhagan,AIADMK,88799,3.24,77.05,44,Anaikattu,North,GEN,215215,13,D.VELAZHAGAN,AIADMK,AIADMK,76302,35.45,A.P.NANDAKUMAR,DMK,69221,3.29,44,True,True,0.04999999999999982,Anaikattu,Vellore,North,GEN,
