ac_number,constituency,region,reserved,valid_votes,n_candidates,winner,winner_party,winner_party_norm,winner_votes,winner_share_pct,runner_up,runner_up_party_norm,runner_up_votes,margin_pct,turnout_pct
70,Gingee,Central,GEN,204601,13,MASTHAN K S,DMK,DMK,109625,53.58,RAJENDIRAN P,PMK,73822,17.5,78.21
71,Mailam,Central,GEN,176105,14,SIVAKUMAR C,PMK,PMK,81044,46.02,Dr. MASILAMANI R,DMK,78814,1.27,79.5
72,Tindivanam,Central,SC,181015,15,ARJUNAN P,AIADMK,AIADMK,87152,48.15,SEETHAPATHY P,DMK,77399,5.39,78.43
73,Vanur,Central,SC,180845,7,CHAKRAPANI M,AIADMK,AIADMK,92219,50.99,VANNI ARASU,VCK,70492,12.01,79.79
74,Villupuram,Central,GEN,203890,25,LAKSHMANAN R,DMK,DMK,102271,50.16,SHANMUGAM C Ve,AIADMK,87403,7.29,76.97
75,Vikravandi,Central,GEN,192495,14,PUGAZHENTHI N,DMK,DMK,93730,48.69,MUTHAMILSELVAN R,AIADMK,84157,4.97,81.39
76,Tirukkoyilur,Central,GEN,194178,14,K.PONMUDY,DMK,DMK,110980,57.15,VAT.KALIVARADHAN,BJP,51300,30.73,76.27
77,Ulundurpet,Central,GEN,242573,15,MANIKANNAN A J,DMK,DMK,115451,47.59,KUMARAGURU R,AIADMK,110195,2.17,82.62
78,Rishivandiam,Central,GEN,212686,15,KARTHIKEYAN K,DMK,DMK,113912,53.56,SANTHOSH S A,AIADMK,72184,19.62,80.18
79,Sankarapuram,Central,GEN,214849,19,UDHAYASURIYAN T,DMK,DMK,121186,56.41,Dr.RAJA G,PMK,75223,21.39,79.58
80,Kallakurichi,Central,SC,224601,17,Senthilkumar.M,AIADMK,AIADMK,110643,49.26,Manirathinem.K.I,INC,84752,11.53,78.16
81,Gangavalli,Central,SC,185252,11,"NALLATHAMBI,A.",AIADMK,AIADMK,89568,48.35,"REKHA PRIYADHARSHINI,J.",DMK,82207,3.97,77.11
82,Attur,Central,SC,197909,11,"JAYASANKARAN, A.P.",AIADMK,AIADMK,95308,48.16,"CHINNADURAI, K.",DMK,87051,4.17,77.26
